en
S,en,Ukraine,ru,РЈРєСЂР°РёРЅР°,ru,РЈРєСЂР°С—РЅР°
T,en,Usteriki,ru,РЈСЃС‚РµСЂiРєРё,ua,РЈСЃС‚РµСЂiРєРё
T,en,Horotseve,ru,РҐРѕСЂРѕС†РµРІРµ,ua,РҐРѕСЂРѕС†РµРІРµ
T,en,CHeremoshna,ru,Р§РµСЂРµРјРѕС€РЅР°,ua,Р§РµСЂРµРјРѕС€РЅР°
T,en,JAblunitsja,ru,РЇР±Р»СѓРЅРёС†СЏ,ua,РЇР±Р»СѓРЅРёС†СЏ
T,en,JAvirnik,ru,РЇРІiСЂРЅРёРє,ua,РЇРІiСЂРЅРёРє
T,en,Bil'shivtsi,ru,Р‘iР»СЊС€iРІС†i,ua,Р‘iР»СЊС€iРІС†i
T,en,Bljudniki,ru,Р‘Р»СЋРґРЅРёРєРё,ua,Р‘Р»СЋРґРЅРёРєРё
T,en,Bovshiv,ru,Р‘РѕРІС€iРІ,ua,Р‘РѕРІС€iРІ
T,en,Brin',ru,Р‘СЂРёРЅСЊ,ua,Р‘СЂРёРЅСЊ
T,en,Burshtin,ru,Р‘СѓСЂС€С‚РёРЅ,ua,Р‘СѓСЂС€С‚РёРЅ
T,en,Viktoriv,ru,Р’iРєС‚РѕСЂiРІ,ua,Р’iРєС‚РѕСЂiРІ
T,en,Galich,ru,Р“Р°Р»РёС‡,ua,Р“Р°Р»РёС‡
T,en,Delieve,ru,Р”РµР»iС”РІРµ,ua,Р”РµР»iС”РІРµ
T,en,Dem'JAniv,ru,Р”РµРј'РЇРЅiРІ,ua,Р”РµРј'РЇРЅiРІ
T,en,Demeshkivtsi,ru,Р”РµРјРµС€РєiРІС†i,ua,Р”РµРјРµС€РєiРІС†i
T,en,Ditjatin,ru,Р”РёС‚СЏС‚РёРЅ,ua,Р”РёС‚СЏС‚РёРЅ
T,en,Dorogiv,ru,Р”РѕСЂРѕРіiРІ,ua,Р”РѕСЂРѕРіiРІ
T,en,Dubivtsi,ru,Р”СѓР±iРІС†i,ua,Р”СѓР±iРІС†i
T,en,Zhalibori,ru,Р–Р°Р»РёР±РѕСЂРё,ua,Р–Р°Р»РёР±РѕСЂРё
T,en,Zadnistrjans'ke,ru,Р—Р°РґРЅiСЃС‚СЂСЏРЅСЃСЊРєРµ,ua,Р—Р°РґРЅiСЃС‚СЂСЏРЅСЃСЊРєРµ
T,en,Zalukva,ru,Р—Р°Р»СѓРєРІР°,ua,Р—Р°Р»СѓРєРІР°
T,en,Kinashiv,ru,РљiРЅР°С€iРІ,ua,РљiРЅР°С€iРІ
T,en,Kinchaki,ru,РљiРЅС‡Р°РєРё,ua,РљiРЅС‡Р°РєРё
T,en,Kolodiyiv,ru,РљРѕР»РѕРґiС—РІ,ua,РљРѕР»РѕРґiС—РІ
T,en,Komariv,ru,РљРѕРјР°СЂiРІ,ua,РљРѕРјР°СЂiРІ
T,en,Korostovichi,ru,РљРѕСЂРѕСЃС‚РѕРІРёС‡i,ua,РљРѕСЂРѕСЃС‚РѕРІРёС‡i
T,en,Krilos,ru,РљСЂРёР»РѕСЃ,ua,РљСЂРёР»РѕСЃ
T,en,Kukil'niki,ru,РљСѓРєiР»СЊРЅРёРєРё,ua,РљСѓРєiР»СЊРЅРёРєРё
T,en,Lani,ru,Р›Р°РЅРё,ua,Р›Р°РЅРё
T,en,Marinopil',ru,РњР°СЂРёРЅРѕРїiР»СЊ,ua,РњР°СЂРёРЅРѕРїiР»СЊ
T,en,Medinja,ru,РњРµРґРёРЅСЏ,ua,РњРµРґРёРЅСЏ
T,en,Meduha,ru,РњРµРґСѓС…Р°,ua,РњРµРґСѓС…Р°
T,en,Mezhigirtsi,ru,РњРµР¶РёРіiСЂС†i,ua,РњРµР¶РёРіiСЂС†i
T,en,Naberezhne,ru,РќР°Р±РµСЂРµР¶РЅРµ,ua,РќР°Р±РµСЂРµР¶РЅРµ
T,en,Narayivka,ru,РќР°СЂР°С—РІРєР°,ua,РќР°СЂР°С—РІРєР°
T,en,Nastashine,ru,РќР°СЃС‚Р°С€РёРЅРµ,ua,РќР°СЃС‚Р°С€РёРЅРµ
T,en,Nimshin,ru,РќiРјС€РёРЅ,ua,РќiРјС€РёРЅ
T,en,Novi skomorohi,ru,РќРѕРІi РЎРєРѕРјРѕСЂРѕС…Рё,ua,РќРѕРІi РЎРєРѕРјРѕСЂРѕС…Рё
T,en,Ozerjani,ru,РћР·РµСЂСЏРЅРё,ua,РћР·РµСЂСЏРЅРё
T,en,Ostriv,ru,РћСЃС‚СЂiРІ,ua,РћСЃС‚СЂiРІ
T,en,Perlivtsi,ru,РџРµСЂР»iРІС†i,ua,РџРµСЂР»iРІС†i
T,en,Sloboda,ru,РЎР»РѕР±РѕРґР°,ua,РЎР»РѕР±РѕРґР°
T,en,Stari skomorohi,ru,РЎС‚Р°СЂi РЎРєРѕРјРѕСЂРѕС…Рё,ua,РЎС‚Р°СЂi РЎРєРѕРјРѕСЂРѕС…Рё
T,en,Starij martiniv,ru,РЎС‚Р°СЂРёР№ РњР°СЂС‚РёРЅiРІ,ua,РЎС‚Р°СЂРёР№ РњР°СЂС‚РёРЅiРІ
T,en,Tenetniki,ru,РўРµРЅРµС‚РЅРёРєРё,ua,РўРµРЅРµС‚РЅРёРєРё
T,en,Tumir,ru,РўСѓРјРёСЂ,ua,РўСѓРјРёСЂ
T,en,Tustan',ru,РўСѓСЃС‚Р°РЅСЊ,ua,РўСѓСЃС‚Р°РЅСЊ
T,en,Hohoniv,ru,РҐРѕС…РѕРЅiРІ,ua,РҐРѕС…РѕРЅiРІ
T,en,JAbluniv,ru,РЇР±Р»СѓРЅiРІ,ua,РЇР±Р»СѓРЅiРІ
T,en,Vikno,ru,Р’iРєРЅРѕ,ua,Р’iРєРЅРѕ
T,en,Verbivtsi,ru,Р’РµСЂР±iРІС†i,ua,Р’РµСЂР±iРІС†i
T,en,Vinograd,ru,Р’РёРЅРѕРіСЂР°Рґ,ua,Р’РёРЅРѕРіСЂР°Рґ
T,en,Vil'hivtsi,ru,Р’iР»СЊС…iРІС†i,ua,Р’iР»СЊС…iРІС†i
T,en,Voroniv,ru,Р’РѕСЂРѕРЅiРІ,ua,Р’РѕСЂРѕРЅiРІ
T,en,Glushkiv,ru,Р“Р»СѓС€РєiРІ,ua,Р“Р»СѓС€РєiРІ
T,en,Gorodenka,ru,Р“РѕСЂРѕРґРµРЅРєР°,ua,Р“РѕСЂРѕРґРµРЅРєР°
T,en,Gorodnitsja,ru,Р“РѕСЂРѕРґРЅРёС†СЏ,ua,Р“РѕСЂРѕРґРЅРёС†СЏ
T,en,Daleshove,ru,Р”Р°Р»РµС€РѕРІРµ,ua,Р”Р°Р»РµС€РѕРІРµ
T,en,Dubka,ru,Р”СѓР±РєР°,ua,Р”СѓР±РєР°
T,en,Kolinki,ru,РљРѕР»iРЅРєРё,ua,РљРѕР»iРЅРєРё
T,en,Kopachintsi,ru,РљРѕРїР°С‡РёРЅС†i,ua,РљРѕРїР°С‡РёРЅС†i
T,en,Korniv,ru,РљРѕСЂРЅiРІ,ua,РљРѕСЂРЅiРІ
T,en,Kotikivka,ru,РљРѕС‚РёРєiРІРєР°,ua,РљРѕС‚РёРєiРІРєР°
T,en,Kunisivtsi,ru,РљСѓРЅРёСЃiРІС†i,ua,РљСѓРЅРёСЃiРІС†i
T,en,Luka,ru,Р›СѓРєР°,ua,Р›СѓРєР°
T,en,Mihal'che,ru,РњРёС…Р°Р»СЊС‡Рµ,ua,РњРёС…Р°Р»СЊС‡Рµ
T,en,Nezvis'ko,ru,РќРµР·РІРёСЃСЊРєРѕ,ua,РќРµР·РІРёСЃСЊРєРѕ
T,en,Olievo-korniv,ru,РћР»iС”РІРѕ-РљРѕСЂРЅiРІ,ua,РћР»iС”РІРѕ-РљРѕСЂРЅiРІ
T,en,Olievo-korolivka,ru,РћР»iС”РІРѕ-РљРѕСЂРѕР»iРІРєР°,ua,РћР»iС”РІРѕ-РљРѕСЂРѕР»iРІРєР°
T,en,Ostrivets',ru,РћСЃС‚СЂiРІРµС†СЊ,ua,РћСЃС‚СЂiРІРµС†СЊ
T,en,Potochische,ru,РџРѕС‚РѕС‡РёС‰Рµ,ua,РџРѕС‚РѕС‡РёС‰Рµ
T,en,Prikmische,ru,РџСЂРёРєРјРёС‰Рµ,ua,РџСЂРёРєРјРёС‰Рµ
T,en,Rashkiv,ru,Р Р°С€РєiРІ,ua,Р Р°С€РєiРІ
T,en,Rosohach,ru,Р РѕСЃРѕС…Р°С‡,ua,Р РѕСЃРѕС…Р°С‡
T,en,Semakivtsi,ru,РЎРµРјР°РєiРІС†i,ua,РЎРµРјР°РєiРІС†i
T,en,Semenivka,ru,РЎРµРјРµРЅiРІРєР°,ua,РЎРµРјРµРЅiРІРєР°
T,en,Serafintsi,ru,РЎРµСЂР°С„РёРЅС†i,ua,РЎРµСЂР°С„РёРЅС†i
T,en,Slobidka,ru,РЎР»РѕР±iРґРєР°,ua,РЎР»РѕР±iРґРєР°
T,en,Soroki,ru,РЎРѕСЂРѕРєРё,ua,РЎРѕСЂРѕРєРё
T,en,Stril'che,ru,РЎС‚СЂiР»СЊС‡Рµ,ua,РЎС‚СЂiР»СЊС‡Рµ
T,en,Tishkivtsi,ru,РўРёС€РєiРІС†i,ua,РўРёС€РєiРІС†i
T,en,Toporivtsi,ru,РўРѕРїРѕСЂiРІС†i,ua,РўРѕРїРѕСЂiРІС†i
T,en,Torgovitsja,ru,РўРѕСЂРіРѕРІРёС†СЏ,ua,РўРѕСЂРіРѕРІРёС†СЏ
T,en,CHernelitsja,ru,Р§РµСЂРЅРµР»РёС†СЏ,ua,Р§РµСЂРЅРµР»РёС†СЏ
T,en,CHernjatin,ru,Р§РµСЂРЅСЏС‚РёРЅ,ua,Р§РµСЂРЅСЏС‚РёРЅ
T,en,CHortovets',ru,Р§РѕСЂС‚РѕРІРµС†СЊ,ua,Р§РѕСЂС‚РѕРІРµС†СЊ
T,en,JAseniv-pil'nij,ru,РЇСЃРµРЅiРІ-РџiР»СЊРЅРёР№,ua,РЇСЃРµРЅiРІ-РџiР»СЊРЅРёР№
T,en,Beleyiv,ru,Р‘РµР»РµС—РІ,ua,Р‘РµР»РµС—РІ
T,en,Velika tur'JA,ru,Р’РµР»РёРєР° РўСѓСЂ'РЇ,ua,Р’РµР»РёРєР° РўСѓСЂ'РЇ
T,en,Vigoda,ru,Р’РёРіРѕРґР°,ua,Р’РёРіРѕРґР°
T,en,Vitvitsja,ru,Р’РёС‚РІРёС†СЏ,ua,Р’РёС‚РІРёС†СЏ
T,en,Vishkiv,ru,Р’РёС€РєiРІ,ua,Р’РёС€РєiРІ
T,en,Gerinja,ru,Р“РµСЂРёРЅСЏ,ua,Р“РµСЂРёРЅСЏ
T,en,Goshiv,ru,Р“РѕС€iРІ,ua,Р“РѕС€iРІ
T,en,Dolina,ru,Р”РѕР»РёРЅР°,ua,Р”РѕР»РёРЅР°
T,en,Kal'na,ru,РљР°Р»СЊРЅР°,ua,РљР°Р»СЊРЅР°
T,en,Knjazholuka,ru,РљРЅСЏР¶РѕР»СѓРєР°,ua,РљРЅСЏР¶РѕР»СѓРєР°
T,en,Kropivnik,ru,РљСЂРѕРїРёРІРЅРёРє,ua,РљСЂРѕРїРёРІРЅРёРє
T,en,Lolin,ru,Р›РѕР»РёРЅ,ua,Р›РѕР»РёРЅ
T,en,Maksimivka,ru,РњР°РєСЃРёРјiРІРєР°,ua,РњР°РєСЃРёРјiРІРєР°
T,en,Mala tur'JA,ru,РњР°Р»Р° РўСѓСЂ'РЇ,ua,РњР°Р»Р° РўСѓСЂ'РЇ
T,en,Mislivka,ru,РњРёСЃР»iРІРєР°,ua,РњРёСЃР»iРІРєР°
T,en,Nadiyiv,ru,РќР°РґiС—РІ,ua,РќР°РґiС—РІ
T,en,Novichka,ru,РќРѕРІРёС‡РєР°,ua,РќРѕРІРёС‡РєР°
T,en,Novoselitsja,ru,РќРѕРІРѕСЃРµР»РёС†СЏ,ua,РќРѕРІРѕСЃРµР»РёС†СЏ
T,en,Novoshin,ru,РќРѕРІРѕС€РёРЅ,ua,РќРѕРІРѕС€РёРЅ
T,en,Obolonnja,ru,РћР±РѕР»РѕРЅРЅСЏ,ua,РћР±РѕР»РѕРЅРЅСЏ
T,en,Patsikiv,ru,РџР°С†РёРєiРІ,ua,РџР°С†РёРєiРІ
T,en,Pidliski,ru,РџiРґР»iСЃРєРё,ua,РџiРґР»iСЃРєРё
T,en,Pshenichniki,ru,РџС€РµРЅРёС‡РЅРёРєРё,ua,РџС€РµРЅРёС‡РЅРёРєРё
T,en,Rakiv,ru,Р Р°РєiРІ,ua,Р Р°РєiРІ
T,en,Rahinja,ru,Р Р°С…РёРЅСЏ,ua,Р Р°С…РёРЅСЏ
T,en,Roztochki,ru,Р РѕР·С‚РѕС‡РєРё,ua,Р РѕР·С‚РѕС‡РєРё
T,en,Senechiv,ru,РЎРµРЅРµС‡iРІ,ua,РЎРµРЅРµС‡iРІ
T,en,Sloboda-bolehivs'ka,ru,РЎР»РѕР±РѕРґР°-Р‘РѕР»РµС…iРІСЃСЊРєР°,ua,РЎР»РѕР±РѕРґР°-Р‘РѕР»РµС…iРІСЃСЊРєР°
T,en,Sloboda-dolins'ka,ru,РЎР»РѕР±РѕРґР°-Р”РѕР»РёРЅСЃСЊРєР°,ua,РЎР»РѕР±РѕРґР°-Р”РѕР»РёРЅСЃСЊРєР°
T,en,Solukiv,ru,РЎРѕР»СѓРєiРІ,ua,РЎРѕР»СѓРєiРІ
T,en,Stankivtsi,ru,РЎС‚Р°РЅРєiРІС†i,ua,РЎС‚Р°РЅРєiРІС†i
T,en,Starij mizun',ru,РЎС‚Р°СЂРёР№ РњiР·СѓРЅСЊ,ua,РЎС‚Р°СЂРёР№ РњiР·СѓРЅСЊ
T,en,Trostjanets',ru,РўСЂРѕСЃС‚СЏРЅРµС†СЊ,ua,РўСЂРѕСЃС‚СЏРЅРµС†СЊ
T,en,Tjapche,ru,РўСЏРїС‡Рµ,ua,РўСЏРїС‡Рµ
T,en,Tserkovna,ru,Р¦РµСЂРєРѕРІРЅР°,ua,Р¦РµСЂРєРѕРІРЅР°
T,en,Shevchenkove,ru,РЁРµРІС‡РµРЅРєРѕРІРµ,ua,РЁРµРІС‡РµРЅРєРѕРІРµ
T,en,JAvoriv,ru,РЇРІРѕСЂiРІ,ua,РЇРІРѕСЂiРІ
T,en,JAkubiv,ru,РЇРєСѓР±iРІ,ua,РЇРєСѓР±iРІ
T,en,Vovchinets',ru,Р’РѕРІС‡РёРЅРµС†СЊ,ua,Р’РѕРІС‡РёРЅРµС†СЊ
T,en,Ivano-frankivs'k,ru,IРІР°РЅРѕ-Р¤СЂР°РЅРєiРІСЃСЊРє,ua,IРІР°РЅРѕ-Р¤СЂР°РЅРєiРІСЃСЊРє
T,en,Krihivtsi,ru,РљСЂРёС…iРІС†i,ua,РљСЂРёС…iРІС†i
T,en,Mikitintsi,ru,РњРёРєРёС‚РёРЅС†i,ua,РњРёРєРёС‚РёРЅС†i
T,en,Ugorniki,ru,РЈРіРѕСЂРЅРёРєРё,ua,РЈРіРѕСЂРЅРёРєРё
T,en,Hriplin,ru,РҐСЂРёРїР»РёРЅ,ua,РҐСЂРёРїР»РёРЅ
T,en,Berezhnitsja,ru,Р‘РµСЂРµР¶РЅРёС†СЏ,ua,Р‘РµСЂРµР¶РЅРёС†СЏ
T,en,Bodnariv,ru,Р‘РѕРґРЅР°СЂiРІ,ua,Р‘РѕРґРЅР°СЂiРІ
T,en,Verhnja,ru,Р’РµСЂС…РЅСЏ,ua,Р’РµСЂС…РЅСЏ
T,en,Vistova,ru,Р’iСЃС‚РѕРІР°,ua,Р’iСЃС‚РѕРІР°
T,en,Vojniliv,ru,Р’РѕР№РЅРёР»iРІ,ua,Р’РѕР№РЅРёР»iРІ
T,en,Golin',ru,Р“РѕР»РёРЅСЊ,ua,Р“РѕР»РёРЅСЊ
T,en,Grabivka,ru,Р“СЂР°Р±iРІРєР°,ua,Р“СЂР°Р±iРІРєР°
T,en,Gumeniv,ru,Р“СѓРјРµРЅiРІ,ua,Р“СѓРјРµРЅiРІ
T,en,Dobrovljani,ru,Р”РѕР±СЂРѕРІР»СЏРЅРё,ua,Р”РѕР±СЂРѕРІР»СЏРЅРё
T,en,Dovge-kalus'ke,ru,Р”РѕРІРіРµ-РљР°Р»СѓСЃСЊРєРµ,ua,Р”РѕРІРіРµ-РљР°Р»СѓСЃСЊРєРµ
T,en,Dovgij vojniliv,ru,Р”РѕРІРіРёР№ Р’РѕР№РЅРёР»iРІ,ua,Р”РѕРІРіРёР№ Р’РѕР№РЅРёР»iРІ
T,en,Dovpotiv,ru,Р”РѕРІРїРѕС‚iРІ,ua,Р”РѕРІРїРѕС‚iРІ
T,en,Zavadka,ru,Р—Р°РІР°РґРєР°,ua,Р—Р°РІР°РґРєР°
T,en,Zavij,ru,Р—Р°РІiР№,ua,Р—Р°РІiР№
T,en,Zbora,ru,Р—Р±РѕСЂР°,ua,Р—Р±РѕСЂР°
T,en,Kadobna,ru,РљР°РґРѕР±РЅР°,ua,РљР°РґРѕР±РЅР°
T,en,Kalush,ru,РљР°Р»СѓС€,ua,РљР°Р»СѓС€
T,en,Kopanki,ru,РљРѕРїР°РЅРєРё,ua,РљРѕРїР°РЅРєРё
T,en,Misliv,ru,РњРёСЃР»iРІ,ua,РњРёСЃР»iРІ
T,en,Mostische,ru,РњРѕСЃС‚РёС‰Рµ,ua,РњРѕСЃС‚РёС‰Рµ
T,en,Negivtsi,ru,РќРµРіiРІС†i,ua,РќРµРіiРІС†i
T,en,Novitsja,ru,РќРѕРІРёС†СЏ,ua,РќРѕРІРёС†СЏ
T,en,Perevozets',ru,РџРµСЂРµРІРѕР·РµС†СЊ,ua,РџРµСЂРµРІРѕР·РµС†СЊ
T,en,Perekosi,ru,РџРµСЂРµРєРѕСЃРё,ua,РџРµСЂРµРєРѕСЃРё
T,en,Pidmihajlja,ru,РџiРґРјРёС…Р°Р№Р»СЏ,ua,РџiРґРјРёС…Р°Р№Р»СЏ
T,en,Pijlo,ru,РџiР№Р»Рѕ,ua,РџiР№Р»Рѕ
T,en,Rip'JAnka,ru,Р iРї'РЇРЅРєР°,ua,Р iРї'РЇРЅРєР°
T,en,Serednij babin,ru,РЎРµСЂРµРґРЅiР№ Р‘Р°Р±РёРЅ,ua,РЎРµСЂРµРґРЅiР№ Р‘Р°Р±РёРЅ
T,en,Serednij ugriniv,ru,РЎРµСЂРµРґРЅiР№ РЈРіСЂРёРЅiРІ,ua,РЎРµСЂРµРґРЅiР№ РЈРіСЂРёРЅiРІ
T,en,Sivka-vojnilivs'ka,ru,РЎiРІРєР°-Р’РѕР№РЅРёР»iРІСЃСЊРєР°,ua,РЎiРІРєР°-Р’РѕР№РЅРёР»iРІСЃСЊРєР°
T,en,Sivka-kalus'ka,ru,РЎiРІРєР°-РљР°Р»СѓСЃСЊРєР°,ua,РЎiРІРєР°-РљР°Р»СѓСЃСЊРєР°
T,en,Stan'kova,ru,РЎС‚Р°РЅСЊРєРѕРІР°,ua,РЎС‚Р°РЅСЊРєРѕРІР°
T,en,Starij ugriniv,ru,РЎС‚Р°СЂРёР№ РЈРіСЂРёРЅiРІ,ua,РЎС‚Р°СЂРёР№ РЈРіСЂРёРЅiРІ
T,en,Studinka,ru,РЎС‚СѓРґiРЅРєР°,ua,РЎС‚СѓРґiРЅРєР°
T,en,Tomashivtsi,ru,РўРѕРјР°С€iРІС†i,ua,РўРѕРјР°С€iРІС†i
T,en,Tuzhiliv,ru,РўСѓР¶РёР»iРІ,ua,РўСѓР¶РёР»iРІ
T,en,Tsvitova,ru,Р¦РІiС‚РѕРІР°,ua,Р¦РІiС‚РѕРІР°
T,en,Bab'JAnka,ru,Р‘Р°Р±'РЇРЅРєР°,ua,Р‘Р°Р±'РЇРЅРєР°
