ID;FullName;CityName;OblName;Center;NalSumLimit;EngName
13506;Подгорное, Майминский р-н, Алтай респ.;Подгорное, Майминский р-н;Алтай респ.;;no limit;
13513;Рыбалка, Алтай респ.;Рыбалка;Алтай респ.;;no limit;
13483;Соузга, Алтай респ.;Соузга;Алтай респ.;;no limit;
15405;Турочак, Алтай респ.;Турочак;Алтай респ.;;0.00;
13519;Узнезя, Чемальский р-н, Алтай респ.;Узнезя, Чемальский р-н;Алтай респ.;;0.00;
15407;Усть-Кан, Алтай респ.;Усть-Кан;Алтай респ.;;0.00;
15408;Усть-Кокса, Алтай респ.;Усть-Кокса;Алтай респ.;;0.00;
13515;Усть-Муны, Майминский р-н, Алтай респ.;Усть-Муны, Майминский р-н;Алтай респ.;;0.00;
13525;Усть-Сема, Алтай респ.;Усть-Сема;Алтай респ.;;0.00;
15406;Усть-Улаган, Алтай респ.;Усть-Улаган;Алтай респ.;;0.00;
13478;Чемал, Алтай респ.;Чемал;Алтай респ.;;0.00;
13517;Чепош, Чемальский р-н, Алтай респ.;Чепош, Чемальский р-н;Алтай респ.;;0.00;
13522;Черга, Алтай респ.;Черга;Алтай респ.;;0.00;
13503;Чоя, Алтай респ.;Чоя;Алтай респ.;;0.00;
13479;Шебалино, Алтай респ.;Шебалино;Алтай респ.;;0.00;
13520;Элекмонар, Чемальский р-н, Алтай респ.;Элекмонар, Чемальский р-н;Алтай респ.;;0.00;
14854;Авиатор, Алтайский край;Авиатор;Алтайский край;;0.00;Aviator
795;Алейск, Алтайский край;Алейск;Алтайский край;;0.00;
6;Алтайское, Алтайский край;Алтайское;Алтайский край;;0.00;
13480;Ая, Алтайский край;Ая;Алтайский край;;no limit;
1856;Баево, Алтайский край;Баево;Алтайский край;;0.00;
274;Барнаул;Барнаул;Алтайский край;*;no limit;Barnaul
814;Белокуриха, Алтайский край;Белокуриха;Алтайский край;;0.00;
275;Бийск;Бийск;Алтайский край;;no limit;Biysk
13477;Бирюзовая Катунь, Алтайский край;Бирюзовая Катунь;Алтайский край;;no limit;
803;Благовещенка, Алтайский край;Благовещенка;Алтайский край;;no limit;
14855;Борзовая заимка, Алтайский край;Борзовая заимка;Алтайский край;;0.00;Borzova zaimka, Altay
13502;Бочкари, Алтайский край;Бочкари;Алтайский край;;0.00;
809;Бурла, Алтайский край;Бурла;Алтайский край;;0.00;
808;Быстрый Исток, Алтайский край;Быстрый Исток;Алтайский край;;0.00;
13510;Верх-Ая, Алтайский край;Верх-Ая;Алтайский край;;0.00;
2334;Верх-Суетка, Алтайский край;Верх-Суетка;Алтайский край;;0.00;
49;Веселоярск, Алтайский край;Веселоярск;Алтайский край;;no limit;
13276;Власиха, Алтайский край;Власиха;Алтайский край;;no limit;
804;Волчиха, Алтайский край;Волчиха;Алтайский край;;no limit;
792;Гальбштадт, Алтайский край;Гальбштадт;Алтайский край;;0.00;
783;Горняк, Алтайский край;Горняк;Алтайский край;;no limit;
13507;Долина свободы, Красногорский район, Алтайский кра;Долина свободы, Красногорский район;Алтайский край;;0.00;
2335;Ельцовка, Алтайский край;Ельцовка;Алтайский край;;0.00;
801;Завьялово, Алтайский край;Завьялово;Алтайский край;;0.00;
1858;Залесово, Алтайский край;Залесово;Алтайский край;;0.00;
98;Заринск, Алтайский край;Заринск;Алтайский край;;0.00;
784;Змеиногорск, Алтайский край;Змеиногорск;Алтайский край;;no limit;
787;Зональное, Алтайский край;Зональное;Алтайский край;;0.00;
14856;Казенная заимка, Алтайский край;Казенная заимка;Алтайский край;;0.00;Treasury zaimka, Altay
701;Калманка, Алтайский край;Калманка;Алтайский край;;0.00;
786;Камень-на-Оби, Алтайский край;Камень-на-Оби;Алтайский край;;0.00;
13508;Катунь, Алтайский край;Катунь;Алтайский край;;no limit;
815;Ключи, Алтайский край;Ключи;Алтайский край;;0.00;
1861;Косиха, Алтайский край;Косиха;Алтайский край;;0.00;
791;Красногорское, Алтайский край;Красногорское;Алтайский край;;0.00;
812;Краснощеково, Алтайский край;Краснощеково;Алтайский край;;0.00;
1857;Крутиха, Алтайский край;Крутиха;Алтайский край;;0.00;
805;Кулунда, Алтайский край;Кулунда;Алтайский край;;0.00;
813;Курья, Алтайский край;Курья;Алтайский край;;no limit;
816;Кытманово, Алтайский край;Кытманово;Алтайский край;;0.00;
14858;Лебяжье, Алтайский край;Лебяжье;Алтайский край;;0.00;Lebyazhe
1271;Мало-Енисейское, Алтайский край;Мало-Енисейское;Алтайский край;;0.00;
782;Мамонтово, Алтайский край;Мамонтово;Алтайский край;;0.00;
1147;Михайловское, Алтайский край;Михайловское;Алтайский край;;no limit;
14857;Научный городок, Алтайский край;Научный городок;Алтайский край;;0.00;Science city
796;Новичиха, Алтайский край;Новичиха;Алтайский край;;0.00;
788;Новоалтайск, Алтайский край;Новоалтайск;Алтайский край;;no limit;
1859;Новоегорьевское, Алтайский край;Новоегорьевское;Алтайский край;;no limit;
15521;Новомихайловка, городской округ Барнаул, Алтайский;Новомихайловка, городской округ Барнаул;Алтайский край;;0.00;
13278;Новосиликатный, Алтайский край;Новосиликатный;Алтайский край;;no limit;
14852;Октябрский, Алтайский край;Октябрский;Алтайский край;;0.00;
780;Павловск, Алтайский край;Павловск;Алтайский край;;0.00;
779;Панкрушиха, Алтайский край;Панкрушиха;Алтайский край;;0.00;
810;Петропавловское, Алтайский край;Петропавловское;Алтайский край;;0.00;
13511;Платово, Советский р-н, Алтайский край;Платово, Советский р-н;Алтайский край;;no limit;
797;Поспелиха, Алтайский край;Поспелиха;Алтайский край;;no limit;
15519;Прудской, Калманский р-н, Алтайский край;Прудской, Калманский р-н;Алтайский край;;0.00;
781;Ребриха, Алтайский край;Ребриха;Алтайский край;;0.00;
802;Родино, Алтайский край;Родино;Алтайский край;;0.00;
800;Романово, Алтайский край;Романово;Алтайский край;;0.00;
798;Рубцовск;Рубцовск;Алтайский край;;no limit;
15517;Сибирские Огни, Павловский р-н, Алтайский край;Сибирские Огни, Павловский р-н;Алтайский край;;0.00;
13090;Сибирский, Алтайский край;Сибирский;Алтайский край;;0.00;
806;Славгород, Алтайский край;Славгород;Алтайский край;;no limit;
15524;Смоленское, Алтайский край;Смоленское;Алтайский край;;0.00;
1860;Советское, Алтайский край;Советское;Алтайский край;;0.00;
2336;Солонешное, Алтайский край;Солонешное;Алтайский край;;0.00;
2332;Солтон, Алтайский край;Солтон;Алтайский край;;0.00;
14853;Спутник, Алтайский край;Спутник;Алтайский край;;0.00;
799;Староалейское, Алтайский край;Староалейское;Алтайский край;;no limit;
954;Степное Озеро, Алтайский край;Степное Озеро;Алтайский край;;0.00;
1863;Табуны, Алтайский край;Табуны;Алтайский край;;0.00;
817;Тальменка, Алтайский край;Тальменка;Алтайский край;;0.00;
820;Тогул, Алтайский край;Тогул;Алтайский край;;0.00;
794;Топчиха, Алтайский край;Топчиха;Алтайский край;;0.00;
790;Троицкое, Алтайский край;Троицкое;Алтайский край;;0.00;
785;Тюменцево, Алтайский край;Тюменцево;Алтайский край;;0.00;
2337;Угловское, Алтайский край;Угловское;Алтайский край;;no limit;
15518;Урожайный, Павловский р-н, Алтайский край;Урожайный, Павловский р-н;Алтайский край;;0.00;
2330;Усть-Калманка, Алтайский край;Усть-Калманка;Алтайский край;;0.00;
2331;Усть-Чарышская Пристань, Алтайский край;Усть-Чарышская Пристань;Алтайский край;;0.00;
807;Хабары, Алтайский край;Хабары;Алтайский край;;0.00;
2333;Целинное, Алтайский край;Целинное;Алтайский край;;0.00;
811;Чарышское, Алтайский край;Чарышское;Алтайский край;;0.00;
15520;Шахи, Павловский р, Алтайский край;Шахи, Павловский р;Алтайский край;;0.00;
1862;Шелаболиха, Алтайский край;Шелаболиха;Алтайский край;;0.00;
793;Шипуново, Алтайский край;Шипуново;Алтайский край;;no limit;
13277;Южный, Алтайский край;Южный;Алтайский край;;no limit;
778;Яровое, Алтайский край;Яровое;Алтайский край;;no limit;
14424;Архара, Амурская обл.;Архара;Амурская обл.;;no limit;
896;Белогорск, Амурская обл.;Белогорск;Амурская обл.;;no limit;
286;Благовещенск;Благовещенск;Амурская обл.;*;no limit;Blagoveshchensk
918;Богородское, Амурская обл.;Богородское;Амурская обл.;;no limit;
13488;Бурея, Амурская обл.;Бурея;Амурская обл.;;no limit;
14425;Варваровка, Амурская обл.;Варваровка;Амурская обл.;;no limit;
13370;Дактуй, Магдагачинский р-он, Амурская обл.;Дактуй, Магдагачинский р-он;Амурская обл.;;no limit;
14427;Екатеринославка, Амурская обл.;Екатеринославка;Амурская обл.;;no limit;
3224;Завитинск, Амурская обл.;Завитинск;Амурская обл.;;no limit;
2329;Зея, Амурская обл.;Зея;Амурская обл.;;no limit;
13328;Ивановка, Амурская обл.;Ивановка;Амурская обл.;;no limit;
14445;Константиновка , Амурская обл.;Константиновка ;Амурская обл.;;no limit;
13012;Магдагачи, Амурская обл.;Магдагачи;Амурская обл.;;no limit;
13065;Невер, Амурская обл.;Невер;Амурская обл.;;no limit;
13936;Новоалександровка, Амурская обл.;Новоалександровка;Амурская обл.;;no limit;
13447;Новобурейский, Амурская обл.;Новобурейский;Амурская обл.;;no limit;
14426;Новокиевский Увал, Амурская обл.;Новокиевский Увал;Амурская обл.;;no limit;
14423;Поярково, Амурская обл.;Поярково;Амурская обл.;;no limit;
14422;Прогресс, Амурская обл.;Прогресс;Амурская обл.;;no limit;
13013;Райчихинск, Амурская обл.;Райчихинск;Амурская обл.;;no limit;
14428;Ромны, Амурская обл.;Ромны;Амурская обл.;;no limit;
3229;Свободный, Амурская обл.;Свободный;Амурская обл.;;no limit;
13396;Серышево, Амурская обл.;Серышево;Амурская обл.;;no limit;
13064;Сковородино, Амурская обл.;Сковородино;Амурская обл.;;no limit;
1763;Талакан, Амурская обл.;Талакан;Амурская обл.;;no limit;
13937;Тамбовка, Амурская обл.;Тамбовка;Амурская обл.;;no limit;
13294;Тыгда, Амурская обл.;Тыгда;Амурская обл.;;no limit;
318;Тында, Амурская обл.;Тында;Амурская обл.;;no limit;Tynda
13395;Углегорск, Амурская обл.;Углегорск;Амурская обл.;;no limit;
13931;Февральск, Амурская обл.;Февральск;Амурская обл.;;no limit;
1760;Шимановск, Амурская обл.;Шимановск;Амурская обл.;;0.00;
14792;Экимчан, Амурская обл.;Экимчан;Амурская обл.;;no limit;
15501;Алупка, Ялтинский р-н, АР Крым;Алупка, Ялтинский р-н;АР Крым;;no limit;
15609;Гаспра, Ялтинский р-н, АР Крым;Гаспра, Ялтинский р-н;АР Крым;;no limit;
15608;Гурзуф, Ялтинский р-н, АР Крым;Гурзуф, Ялтинский р-н;АР Крым;;no limit;
7081;Евпатория;Евпатория;АР Крым;;no limit;
15254;Керчь;Керчь;АР Крым;;no limit;
15610;Кореиз, Ялтинский р-н, АР Крым;Кореиз, Ялтинский р-н;АР Крым;;no limit;
15612;Парковое, Ялтинский р-н, АР Крым;Парковое, Ялтинский р-н;АР Крым;;no limit;
15256;Севастополь;Севастополь;АР Крым;;no limit;
15611;Симеиз, Ялтинский р-н, АР Крым;Симеиз, Ялтинский р-н;АР Крым;;no limit;
15345;Симферополь;Симферополь;АР Крым;*;no limit;
12963;Ялта;Ялта;АР Крым;;no limit;
402;Архангельск;Архангельск;Архангельская обл.;*;no limit;Arkhangelsk
13292;Архангельск-55, Архангельская обл.;Архангельск-55;Архангельская обл.;;0.00;
1952;Березник, Архангельская обл.;Березник;Архангельская обл.;;0.00;
1955;Васьково, Архангельская обл.;Васьково;Архангельская обл.;;0.00;
994;Вельск, Архангельская обл.;Вельск;Архангельская обл.;;0.00;
1953;Верхняя Тойма, Архангельская обл.;Верхняя Тойма;Архангельская обл.;;0.00;
2342;Ильинско-Подомское, Архангельская обл.;Ильинско-Подомское;Архангельская обл.;;0.00;
1954;Каргополь, Архангельская обл.;Каргополь;Архангельская обл.;;0.00;
14593;Карпогоры, Архангельская обл.;Карпогоры;Архангельская обл.;;0.00;
1948;Коноша, Архангельская обл.;Коноша;Архангельская обл.;;0.00;
1170;Коряжма, Архангельская обл.;Коряжма;Архангельская обл.;;0.00;
14316;Костылево п., Архангельская обл.;Костылево п.;Архангельская обл.;;0.00;
1756;Котлас, Архангельская обл.;Котлас;Архангельская обл.;;0.00;Kotlas
2340;Красноборск, Архангельская обл.;Красноборск;Архангельская обл.;;0.00;
15196;Красное, Ненецкий р-он, Архангельская обл.;Красное, Ненецкий р-он;Архангельская обл.;;0.00;
13014;Мезень, Архангельская обл.;Мезень;Архангельская обл.;;0.00;
1951;Мирный, Архангельская обл.;Мирный;Архангельская обл.;;0.00;Mirny
13095;Мухонская, Архангельская обл.;Мухонская;Архангельская обл.;;0.00;
997;Новодвинск, Архангельская обл.;Новодвинск;Архангельская обл.;;no limit;
15429;Новое Лукино, Приморский р-н, Архангельская обл.;Новое Лукино, Приморский р-н;Архангельская обл.;;0.00;
1949;Няндома, Архангельская обл.;Няндома;Архангельская обл.;;0.00;
1957;Обозерский, Архангельская обл.;Обозерский;Архангельская обл.;;0.00;
2341;Октябрьский, Архангельская обл.;Октябрьский;Архангельская обл.;;0.00;Oktyabrsky
1950;Онега, Архангельская обл.;Онега;Архангельская обл.;;0.00;
406;Плесецк, Архангельская обл.;Плесецк;Архангельская обл.;;0.00;
2339;Савинский, Архангельская обл.;Савинский;Архангельская обл.;;0.00;
996;Северодвинск, Архангельская обл.;Северодвинск;Архангельская обл.;;no limit;Severodvinsk
13411;Североонежск, Архангельская обл.;Североонежск;Архангельская обл.;;0.00;
13017;Соловецкий, Архангельская обл.;Соловецкий;Архангельская обл.;;0.00;
14317;Урдома п., Ленский р-н, Архангельская обл.;Урдома п., Ленский р-н;Архангельская обл.;;0.00;
2338;Холмогоры, Архангельская обл.;Холмогоры;Архангельская обл.;;0.00;
1956;Цигломень, Архангельская обл.;Цигломень;Архангельская обл.;;0.00;
13726;Черемушский, Котлакский р-н, Архангельская обл.;Черемушский, Котлакский р-н;Архангельская обл.;;0.00;
14594;Шенкурск, Архангельская обл.;Шенкурск;Архангельская обл.;;0.00;
14936;Аксарайский, Астраханская обл.;Аксарайский;Астраханская обл.;;0.00;
14806;Ассадулаево, Астраханская обл.;Ассадулаево;Астраханская обл.;;0.00;
432;Астрахань;Астрахань;Астраханская обл.;*;no limit;Astrakhan
14803;Атал, Астраханская обл.;Атал;Астраханская обл.;;0.00;
145;Ахтубинск, Астраханская обл.;Ахтубинск;Астраханская обл.;;0.00;
14938;Байбек, Астраханская обл.;Байбек;Астраханская обл.;;0.00;
14942;Бакланье, Астраханская обл.;Бакланье;Астраханская обл.;;0.00;
14952;Басы, Астраханская обл.;Басы;Астраханская обл.;;0.00;
14884;Батаевка, Астраханская обл.;Батаевка;Астраханская обл.;;0.00;
14865;Бахтемир, Астраханская обл.;Бахтемир;Астраханская обл.;;0.00;
14945;Бирюковка, Астраханская обл.;Бирюковка;Астраханская обл.;;0.00;
14916;Болхуны, Астраханская обл.;Болхуны;Астраханская обл.;;0.00;
14964;Бударино, Астраханская обл.;Бударино;Астраханская обл.;;0.00;
14954;Верхнекалиновский, Астраханская обл.;Верхнекалиновский;Астраханская обл.;;0.00;
14937;Верхнелебяжье, Астраханская обл.;Верхнелебяжье;Астраханская обл.;;0.00;
2402;Верхний Баскунчак, Астраханская обл.;Верхний Баскунчак;Астраханская обл.;;0.00;
14939;Верхний Бузан, Астраханская обл.;Верхний Бузан;Астраханская обл.;;0.00;
2403;Володарский, Астраханская обл.;Володарский;Астраханская обл.;;0.00;
14929;Вольное, Астраханская обл.;Вольное;Астраханская обл.;;0.00;
14879;Вязовка, Астраханская обл.;Вязовка;Астраханская обл.;;0.00;
14951;Грушево, Астраханская обл.;Грушево;Астраханская обл.;;0.00;
14934;Досанг, Астраханская обл.;Досанг;Астраханская обл.;;0.00;
14866;Евпраксино, Астраханская обл.;Евпраксино;Астраханская обл.;;0.00;
2404;Енотаевка, Астраханская обл.;Енотаевка;Астраханская обл.;;0.00;
2405;Замьяны, Астраханская обл.;Замьяны;Астраханская обл.;;0.00;
14958;Занзели, Астраханская обл.;Занзели;Астраханская обл.;;0.00;
14949;Зеленга, Астраханская обл.;Зеленга;Астраханская обл.;;0.00;
2406;Знаменск, Астраханская обл.;Знаменск;Астраханская обл.;;0.00;
14919;Золотуха, Астраханская обл.;Золотуха;Астраханская обл.;;0.00;
14883;Зубовка, Астраханская обл.;Зубовка;Астраханская обл.;;0.00;
14927;Ивановка, Астраханская обл.;Ивановка;Астраханская обл.;;0.00;
14870;Иванчуг, Астраханская обл.;Иванчуг;Астраханская обл.;;0.00;
2407;Икряное, Астраханская обл.;Икряное;Астраханская обл.;;0.00;
14863;Ильинка, Астраханская обл.;Ильинка;Астраханская обл.;;0.00;
14877;Каменный Яр, Астраханская обл.;Каменный Яр;Астраханская обл.;;0.00;
2408;Камызяк, Астраханская обл.;Камызяк;Астраханская обл.;;0.00;
14956;Камышово, Астраханская обл.;Камышово;Астраханская обл.;;0.00;
14805;Камязяк, Астраханская обл.;Камязяк;Астраханская обл.;;0.00;
14875;Капустин Яр, Астраханская обл.;Капустин Яр;Астраханская обл.;;0.00;
14955;Караванное, Астраханская обл.;Караванное;Астраханская обл.;;0.00;
14814;Карагали, Астраханская обл.;Карагали;Астраханская обл.;;0.00;
14957;Каралат, Астраханская обл.;Каралат;Астраханская обл.;;0.00;
14960;Караульное, Астраханская обл.;Караульное;Астраханская обл.;;0.00;
14953;Каспий, Астраханская обл.;Каспий;Астраханская обл.;;0.00;
14811;Кирпичного завода поселок, Астраханская обл.;Кирпичного завода поселок;Астраханская обл.;;0.00;
14935;Комсомольский, Астраханская обл.;Комсомольский;Астраханская обл.;;0.00;
14925;Копановка, Астраханская обл.;Копановка;Астраханская обл.;;0.00;
14924;Кочковатка, Астраханская обл.;Кочковатка;Астраханская обл.;;0.00;
2409;Красные Баррикады, Астраханская обл.;Красные Баррикады;Астраханская обл.;;0.00;
13112;Красный Яр, Астраханская обл.;Красный Яр;Астраханская обл.;;0.00;
14813;Кулаковка, Астраханская обл.;Кулаковка;Астраханская обл.;;0.00;
14932;Ленино, Астраханская обл.;Ленино;Астраханская обл.;;0.00;
14962;Лесное, Астраханская обл.;Лесное;Астраханская обл.;;0.00;
2410;Лиман, Астраханская обл.;Лиман;Астраханская обл.;;0.00;
14946;Линейное, Астраханская обл.;Линейное;Астраханская обл.;;0.00;
14867;Мансур, Астраханская обл.;Мансур;Астраханская обл.;;0.00;
14923;Михайловка, Астраханская обл.;Михайловка;Астраханская обл.;;0.00;
14944;Мултаново, Астраханская обл.;Мултаново;Астраханская обл.;;0.00;
14963;Мумра, Астраханская обл.;Мумра;Астраханская обл.;;0.00;
2411;Нариманов, Астраханская обл.;Нариманов;Астраханская обл.;;0.00;
14804;Нартовский, Астраханская обл.;Нартовский;Астраханская обл.;;0.00;
2412;Началово, Астраханская обл.;Началово;Астраханская обл.;;0.00;
2413;Нижний Баскунчак, Астраханская обл.;Нижний Баскунчак;Астраханская обл.;;0.00;
14920;Никольское, Астраханская обл.;Никольское;Астраханская обл.;;0.00;
14862;Новокучергановка, Астраханская обл.;Новокучергановка;Астраханская обл.;;0.00;
14810;Новоначаловский, Астраханская обл.;Новоначаловский;Астраханская обл.;;0.00;
14915;Новониколаевка, Астраханская обл.;Новониколаевка;Астраханская обл.;;0.00;
14961;Оранжереи, Астраханская обл.;Оранжереи;Астраханская обл.;;0.00;
13287;Осыпной Бугор, Астраханская обл.;Осыпной Бугор;Астраханская обл.;;0.00;
14807;Первого Мая, Астраханская обл.;Первого Мая;Астраханская обл.;;0.00;
14918;Пироговка, Астраханская обл.;Пироговка;Астраханская обл.;;0.00;
14941;Пойменный, Астраханская обл.;Пойменный;Астраханская обл.;;0.00;
14880;Покровка, Астраханская обл.;Покровка;Астраханская обл.;;0.00;
14876;Пологое Займище, Астраханская обл.;Пологое Займище;Астраханская обл.;;0.00;
14948;Прикаспийский, Астраханская обл.;Прикаспийский;Астраханская обл.;;0.00;
14922;Пришиб, Астраханская обл.;Пришиб;Астраханская обл.;;0.00;
14873;Раздор, Астраханская обл.;Раздор;Астраханская обл.;;0.00;
14864;Рассвет, Астраханская обл.;Рассвет;Астраханская обл.;;0.00;
14808;Растопуловка, Астраханская обл.;Растопуловка;Астраханская обл.;;0.00;
14933;Речное, Астраханская обл.;Речное;Астраханская обл.;;0.00;
14874;Рычарский, Астраханская обл.;Рычарский;Астраханская обл.;;0.00;
14871;Садовый, Астраханская обл.;Садовый;Астраханская обл.;;0.00;
14928;Селитренное, Астраханская обл.;Селитренное;Астраханская обл.;;0.00;
14917;Соленое Займище, Астраханская обл.;Соленое Займище;Астраханская обл.;;0.00;
14878;Солодники, Астраханская обл.;Солодники;Астраханская обл.;;0.00;
14943;Солянка, Астраханская обл.;Солянка;Астраханская обл.;;0.00;
2414;Средний Баскунчак, Астраханская обл.;Средний Баскунчак;Астраханская обл.;;0.00;
14881;Старица, Астраханская обл.;Старица;Астраханская обл.;;0.00;
14851;Старокучергановка , Астраханская обл.;Старокучергановка ;Астраханская обл.;;0.00;
14868;Стеклозавода поселок, Астраханская обл.;Стеклозавода поселок;Астраханская обл.;;0.00;
14930;Табун-Арал, Астраханская обл.;Табун-Арал;Астраханская обл.;;0.00;
14926;Тамбовка, Астраханская обл.;Тамбовка;Астраханская обл.;;0.00;
14802;ТатароБашмаковка, Астраханская обл.;ТатароБашмаковка;Астраханская обл.;;0.00;
14809;Три Протока, Астраханская обл.;Три Протока;Астраханская обл.;;0.00;
14950;Тузуклей, Астраханская обл.;Тузуклей;Астраханская обл.;;0.00;
14947;Тумак, Астраханская обл.;Тумак;Астраханская обл.;;0.00;
14921;Удачное, Астраханская обл.;Удачное;Астраханская обл.;;0.00;
14882;Успенка, Астраханская обл.;Успенка;Астраханская обл.;;0.00;
14812;Фунтово, Астраханская обл.;Фунтово;Астраханская обл.;;0.00;
13121;Харабали, Астраханская обл.;Харабали;Астраханская обл.;;0.00;
14931;Хошеутово, Астраханская обл.;Хошеутово;Астраханская обл.;;0.00;
14869;Чаган, Астраханская обл.;Чаган;Астраханская обл.;;0.00;
2415;Черный Яр, Астраханская обл.;Черный Яр;Астраханская обл.;;0.00;
14959;Чулпан, Астраханская обл.;Чулпан;Астраханская обл.;;0.00;
14801;Яксатово, Астраханская обл.;Яксатово;Астраханская обл.;;0.00;
14872;Яманцуг, Астраханская обл.;Яманцуг;Астраханская обл.;;0.00;
13097;Авдон, Уфимский р-он, Башкортостан респ.;Авдон, Уфимский р-он;Башкортостан респ.;;0.00;
634;Агидель, Башкортостан респ.;Агидель;Башкортостан респ.;;no limit;
1767;Азово, Башкортостан респ.;Азово;Башкортостан респ.;;0.00;
2416;Аксаково село, Башкортостан респ.;Аксаково село;Башкортостан респ.;;0.00;
2417;Аксеново, Башкортостан респ.;Аксеново;Башкортостан респ.;;0.00;
90;Актау, Башкортостан респ.;Актау;Башкортостан респ.;;0.00;
651;Акъяр, Башкортостан респ.;Акъяр;Башкортостан респ.;;0.00;
13136;Алексеевка, Башкортостан респ.;Алексеевка;Башкортостан респ.;;0.00;
13616;Амзя, Янаульский р-н, Башкортостан респ.;Амзя, Янаульский р-н;Башкортостан респ.;;0.00;
13499;Арлан, Башкортостан респ.;Арлан;Башкортостан респ.;;0.00;
663;Архангельское, Башкортостан респ.;Архангельское;Башкортостан респ.;;0.00;
648;Аскарово, Башкортостан респ.;Аскарово;Башкортостан респ.;;0.00;
661;Аскино, Башкортостан респ.;Аскино;Башкортостан респ.;;0.00;
13203;Аэропорт, Башкортостан респ.;Аэропорт;Башкортостан респ.;;0.00;
14708;Байкибашево, Башкортостан респ.;Байкибашево;Башкортостан респ.;;0.00;
646;Баймак, Башкортостан респ.;Баймак;Башкортостан респ.;;0.00;
637;Бакалы, Башкортостан респ.;Бакалы;Башкортостан респ.;;0.00;
631;Белебей, Башкортостан респ.;Белебей;Башкортостан респ.;;0.00;
249;Белорецк, Башкортостан респ.;Белорецк;Башкортостан респ.;;0.00;
638;Бижбуляк, Башкортостан респ.;Бижбуляк;Башкортостан респ.;;0.00;
548;Бирск, Башкортостан респ.;Бирск;Башкортостан респ.;;0.00;
656;Благовещенск, Башкортостан респ.;Благовещенск;Башкортостан респ.;;0.00;Blagoveshchensk
660;Большеустьикинское, Башкортостан респ.;Большеустьикинское;Башкортостан респ.;;0.00;
662;Буздяк, Башкортостан респ.;Буздяк;Башкортостан респ.;;0.00;
14386;Булгаково, Башкортостан респ.;Булгаково;Башкортостан респ.;;0.00;
649;Бураево, Башкортостан респ.;Бураево;Башкортостан респ.;;0.00;
14307;Буруновка, Гафурийский р-н, Башкортостан респ.;Буруновка, Гафурийский р-н;Башкортостан респ.;;0.00;
14638;Вавилово, Башкортостан респ.;Вавилово;Башкортостан респ.;;no limit;
654;Верхнеяркеево, Башкортостан респ.;Верхнеяркеево;Башкортостан респ.;;0.00;
643;Верхние Киги, Башкортостан респ.;Верхние Киги;Башкортостан респ.;;0.00;
667;Верхние Татышлы, Башкортостан респ.;Верхние Татышлы;Башкортостан респ.;;0.00;
658;Давлеканово, Башкортостан респ.;Давлеканово;Башкортостан респ.;;0.00;
13202;Дема, Башкортостан респ.;Дема;Башкортостан респ.;;no limit;
405;Дюртюли, Башкортостан респ.;Дюртюли;Башкортостан респ.;;0.00;
636;Ермекеево, Башкортостан респ.;Ермекеево;Башкортостан респ.;;0.00;
650;Ермолаево, Башкортостан респ.;Ермолаево;Башкортостан респ.;;0.00;
2418;Жуково, Башкортостан респ.;Жуково;Башкортостан респ.;;0.00;
